site,headline,link
https://www.thedailystar.net,Complete Hadi murder trial in 30 days or face anti-govt movement: Inqilab Moncho,/news/bangladesh/news/complete-hadi-murder-trial-30-days-or-face-anti-govt-movement-inqilab-moncho-4071496
https://www.dhakatribune.com,‘Movement to oust govt if Hadi murder trial not completed in 30 days’,//www.dhakatribune.com/bangladesh/400116/%E2%80%98movement-to-oust-govt-if-hadi-murder-trial-not
https://www.tbsnews.net,"No room for haste in justice, govt committed to bring Hadi’s killers to book: Foreign adviser",/bangladesh/no-room-haste-justice-govt-committed-bring-hadis-killers-book-foreign-adviser-1325276
https://www.tbsnews.net,Video messages of Hadi murder prime suspect under examination: DMP commissioner,/bangladesh/video-messages-hadi-murder-prime-suspect-under-examination-dmp-commissioner-1325236
https://www.daily-sun.com,Osman Hadi,https://www.daily-sun.com/topic/osman-hadi
https://www.observerbd.com,Hadi murder: DMP examining Faisal's video,https://www.observerbd.com/news/560783
https://www.observerbd.com,Hadi's killers will face justice even if they escape overseas: Shipping Adviser,https://www.observerbd.com/news/560740
https://www.observerbd.com,Hadi murder: DMP examining Faisal's video,https://www.observerbd.com/news/560783
https://www.observerbd.com,Hadi's killers will face justice even if they escape overseas: Shipping Adviser,https://www.observerbd.com/news/560740
https://www.observerbd.com,Hadi murder: DMP examining Faisal's video,https://www.observerbd.com/news/560783
https://www.observerbd.com,Hadi's killers will face justice even if they escape overseas: Shipping Adviser,https://www.observerbd.com/news/560740
https://www.observerbd.com,Former DU student names son after Shaheed Osman Hadi,https://www.observerbd.com/news/558995
https://www.observerbd.com,Hadi's killers will face justice even if they escape overseas: Shipping Adviser,https://www.observerbd.com/news/560740
https://www.observerbd.com,Hadi murder: DMP examining Faisal's video,https://www.observerbd.com/news/560783
https://www.observerbd.com,Hadi murder: DMP examining Faisal's video,https://www.observerbd.com/news/560783
https://www.prothomalo.com,ওসমান হাদি হত্যাকাণ্ডবিদেশে পলাতক ফয়সাল করিমের ভিডিও খতিয়ে দেখছে পুলিশ,https://www.prothomalo.com/bangladesh/crime/zx1ws2sx24
https://www.prothomalo.com,ওসমান হাদি হত্যাকাণ্ডবিদেশে পলাতক ফয়সাল করিমের ভিডিও খতিয়ে দেখছে পুলিশ,https://www.prothomalo.com/bangladesh/crime/zx1ws2sx24
https://www.prothomalo.com,ওসমান হাদি হত্যাকাণ্ডবিদেশে পলাতক ফয়সাল করিমের ভিডিও খতিয়ে দেখছে পুলিশ,https://www.prothomalo.com/bangladesh/crime/zx1ws2sx24
https://www.weeklyblitz.net,How Dhaka banked on an Al Jazeera deep-fake to fuel anti-India hysteria after Osman Hadi’s murder,https://weeklyblitz.net/2026/01/02/al-jazeera-deepfake-osman-hadi-murder-india-bangladesh/
https://www.weeklyblitz.net,How Dhaka banked on an Al Jazeera deep-fake to fuel anti-India hysteria after Osman Hadi’s murder,https://weeklyblitz.net/2026/01/02/al-jazeera-deepfake-osman-hadi-murder-india-bangladesh/
https://www.weeklyblitz.net,How Dhaka banked on an Al Jazeera deep-fake to fuel anti-India hysteria after Osman Hadi’s murder,https://weeklyblitz.net/2026/01/02/al-jazeera-deepfake-osman-hadi-murder-india-bangladesh/
https://www.weeklyblitz.net,How Dhaka banked on an Al Jazeera deep-fake to fuel anti-India hysteria after Osman Hadi’s murder,https://weeklyblitz.net/2026/01/02/al-jazeera-deepfake-osman-hadi-murder-india-bangladesh/
https://www.weeklyblitz.net,How Dhaka banked on an Al Jazeera deep-fake to fuel anti-India hysteria after Osman Hadi’s murder,https://weeklyblitz.net/2026/01/02/al-jazeera-deepfake-osman-hadi-murder-india-bangladesh/
https://www.weeklyblitz.net,"Under international pressure, Dhaka arrests Al-Qaeda-linked jihadist Bikrompuri",https://weeklyblitz.net/2025/12/25/under-international-pressure-dhaka-arrests-al-qaeda-linked-jihadist-bikrompuri/
https://www.samakal.com,ঘোষিত সময়ের মধ্যে হাদি হত্যার অভিযোগপত্র: ডিবি,https://samakal.com/crime/article/332167/ঘোষিত-সময়ের-মধ্যে-হাদি-হত্যার-অভিযোগপত্র:-ডিবি
